QTD_Bytes,Distancia_m,Tempo_ms,QTD_Paredes,INT_WIFI,INT_WIFI-Mesmo_Canal,INT_WIFI-Proximo,INT_BT,INT_BT-Proximo,INT_MICROONDAS,INT_MICROONDAS-Proximo,INT_FURADEIRA,INT_FURADEIRA-Proximo,wifi_same_client,dist_5m,cem_client,wifi_same_server,bl_client,1_parede,dist_1m,bluetooth_client,Sem_Interferência,wifi_diff_server,microondas_client,wifi_diff_client,bl_server,dist_0m
128,0,284.3333333333333,0,1,SAME,CLIENT,0,,0,,1,CLIENT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1408,0,319.6666666666667,0,1,SAME,CLIENT,0,,0,,1,CLIENT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2688,0,359.3333333333333,0,1,SAME,CLIENT,0,,0,,1,CLIENT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3968,0,359.3333333333333,0,1,SAME,CLIENT,0,,0,,1,CLIENT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5248,0,352.0,0,1,SAME,CLIENT,0,,0,,1,CLIENT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6528,0,389.3333333333333,0,1,SAME,CLIENT,0,,0,,1,CLIENT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7808,0,352.3333333333333,0,1,SAME,CLIENT,0,,0,,1,CLIENT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9088,0,418.0,0,1,SAME,CLIENT,0,,0,,1,CLIENT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
