QTD_Bytes,Distancia_m,Tempo_ms,QTD_Paredes,INT_WIFI,INT_WIFI-Mesmo_Canal,INT_WIFI-Proximo,INT_BT,INT_BT-Proximo,INT_MICROONDAS,INT_MICROONDAS-Proximo,INT_FURADEIRA,INT_FURADEIRA-Proximo,wifi_same_client,dist_5m,cem_client,wifi_same_server,bl_client,1_parede,dist_1m,bluetooth_client,Sem_Interferência,wifi_diff_server,microondas_client,wifi_diff_client,bl_server,dist_0m
4352,0,332.0,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4480,0,384.6666666666667,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4608,0,370.3333333333333,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4736,0,390.3333333333333,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4864,0,338.3333333333333,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4992,0,417.0,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5120,0,334.0,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5248,0,382.0,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5376,0,394.3333333333333,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5504,0,359.3333333333333,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5632,0,386.6666666666667,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5760,0,384.0,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5888,0,349.0,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6016,0,388.0,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6144,0,382.0,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6272,0,342.0,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6400,0,372.6666666666667,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6528,0,370.3333333333333,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6656,0,333.0,0,1,SAME,SERVER,0,,0,,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
