QTD_Bytes,Distancia_m,Tempo_ms,QTD_Paredes,INT_WIFI,INT_WIFI-Mesmo_Canal,INT_WIFI-Proximo,INT_BT,INT_BT-Proximo,INT_MICROONDAS,INT_MICROONDAS-Proximo,INT_FURADEIRA,INT_FURADEIRA-Proximo
128,0,283.3333333333333,0,1,SAME,CLIENT,0,,1,CLIENT,0,
1408,0,315.3333333333333,0,1,SAME,CLIENT,0,,1,CLIENT,0,
2688,0,379.3333333333333,0,1,SAME,CLIENT,0,,1,CLIENT,0,
3968,0,345.0,0,1,SAME,CLIENT,0,,1,CLIENT,0,
5248,0,348.6666666666667,0,1,SAME,CLIENT,0,,1,CLIENT,0,
6528,0,369.3333333333333,0,1,SAME,CLIENT,0,,1,CLIENT,0,
7808,0,364.3333333333333,0,1,SAME,CLIENT,0,,1,CLIENT,0,
9088,0,427.3333333333333,0,1,SAME,CLIENT,0,,1,CLIENT,0,
