QTD_Bytes,Distancia_m,Tempo_ms,QTD_Paredes,INT_WIFI,INT_WIFI-Mesmo_Canal,INT_WIFI-Proximo,INT_BT,INT_BT-Proximo,INT_MICROONDAS,INT_MICROONDAS-Proximo,INT_FURADEIRA,INT_FURADEIRA-Proximo
128,0,284.3333333333333,0,1,SAME,CLIENT,0,,0,,1,CLIENT
1408,0,319.6666666666667,0,1,SAME,CLIENT,0,,0,,1,CLIENT
2688,0,359.3333333333333,0,1,SAME,CLIENT,0,,0,,1,CLIENT
3968,0,359.3333333333333,0,1,SAME,CLIENT,0,,0,,1,CLIENT
5248,0,352.0,0,1,SAME,CLIENT,0,,0,,1,CLIENT
6528,0,389.3333333333333,0,1,SAME,CLIENT,0,,0,,1,CLIENT
7808,0,352.3333333333333,0,1,SAME,CLIENT,0,,0,,1,CLIENT
9088,0,418.0,0,1,SAME,CLIENT,0,,0,,1,CLIENT
